Ticket ID,Priority,Status,Subject,Description,Address,Raised At,Closed At,order_id
3P1018,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Bhopal,2025-12-24 08:31:34.160042+00:00,2025-12-24 12:31:34.160042+00:00,ORD852685
3P1019,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Delhi,2026-01-19 11:39:34.160042+00:00,,ORD102496
3P1020,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Hyderabad,2025-12-06 13:25:34.160042+00:00,2025-12-07 13:25:34.160042+00:00,ORD620167
2P1021,P2,CLOSED,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Hyderabad,2026-01-10 11:29:34.160042+00:00,2026-01-10 15:29:34.160042+00:00,ORD927869
3P1022,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Delhi,2025-12-17 15:40:34.160042+00:00,2025-12-17 23:40:34.160042+00:00,ORD446483
2P1023,P2,OPEN,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Hyderabad,2026-01-16 21:51:34.160042+00:00,,ORD245110
2P1024,P2,OPEN,Refund not credited within 1 business day,Prime member eligible for instant refund — amount deducted but not credited back after 36 hours.,Delhi,2026-02-03 00:58:34.160042+00:00,,ORD803508
2P1025,P2,CLOSED,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Kolkata,2026-02-09 06:09:34.160042+00:00,2026-02-09 10:09:34.160042+00:00,ORD804766
3P1026,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Bhopal,2025-12-23 22:23:34.160042+00:00,,ORD122676
2P1027,P2,OPEN,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Surat,2025-12-19 03:42:34.160042+00:00,,ORD719054
2P1028,P2,OPEN,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Hyderabad,2026-01-23 15:22:34.160042+00:00,,ORD715016
3P1029,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Hyderabad,2025-12-26 17:19:34.160042+00:00,2025-12-29 17:19:34.160042+00:00,ORD750168
2P1030,P2,OPEN,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Hyderabad,2026-01-31 10:39:34.160042+00:00,,ORD289321
2P1031,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Bhopal,2025-12-29 03:58:34.160042+00:00,2025-12-29 04:58:34.160042+00:00,ORD219499
3P1032,P3,OPEN,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Ahmedabad,2025-12-20 16:50:34.160042+00:00,,ORD381600
3P1033,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2025-12-27 08:40:34.160042+00:00,2025-12-27 10:40:34.160042+00:00,ORD368290
1P1034,P1,CLOSED,Warehouse inventory mismatch – critical SKU,"Physical stock of emergency item XYZ789 is 0, but system shows 450 units.",Bangalore,2026-02-17 14:45:34.160042+00:00,2026-02-20 14:45:34.160042+00:00,ORD641285
2P1035,P2,CLOSED,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Hyderabad,2025-12-04 11:58:34.160042+00:00,2025-12-04 12:58:34.160042+00:00,ORD224131
3P1036,P3,OPEN,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Lucknow,2025-12-30 21:28:34.160042+00:00,,ORD478824
2P1037,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Hyderabad,2025-12-09 19:33:34.160042+00:00,2025-12-10 19:33:34.160042+00:00,ORD190189
3P1038,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Hyderabad,2025-12-23 22:49:34.160042+00:00,2025-12-23 23:49:34.160042+00:00,ORD240371
3P1039,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Bhopal,2026-02-07 08:32:34.160042+00:00,2026-02-07 12:32:34.160042+00:00,ORD236344
3P1040,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Kolkata,2026-01-12 01:14:34.160042+00:00,2026-01-15 01:14:34.160042+00:00,ORD808758
3P1041,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Indore,2025-11-28 02:25:34.160042+00:00,2025-11-28 03:25:34.160042+00:00,ORD997722
3P1042,P3,OPEN,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Bhopal,2025-12-27 07:31:34.160042+00:00,,ORD251881
2P1043,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Hyderabad,2025-11-28 03:57:34.160042+00:00,2025-11-28 05:57:34.160042+00:00,ORD661306
3P1044,P3,CLOSED,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Hyderabad,2025-12-24 02:00:34.160042+00:00,2025-12-27 02:00:34.160042+00:00,ORD540658
3P1045,P3,OPEN,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Hyderabad,2026-02-02 21:29:34.160042+00:00,,ORD392596
3P1046,P3,OPEN,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Hyderabad,2025-11-30 18:34:34.160042+00:00,,ORD474677
3P1047,P3,OPEN,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Hyderabad,2026-01-27 04:33:34.160042+00:00,,ORD871937
3P1048,P3,OPEN,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2025-12-03 10:28:34.160042+00:00,,ORD864990
1P1049,P1,CLOSED,Vendor dispatch system outage,Primary vendor's dispatch system crashed — no shipments processed in last 48 hours.,Bangalore,2025-12-27 21:26:34.160042+00:00,2025-12-27 21:56:34.160042+00:00,ORD378755
3P1050,P3,OPEN,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Hyderabad,2026-01-08 07:37:34.160042+00:00,,ORD117476
3P1051,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Chennai,2026-01-01 21:36:34.160042+00:00,2026-01-01 23:36:34.160042+00:00,ORD950579
2P1052,P2,CLOSED,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Surat,2025-11-29 19:04:34.160042+00:00,2025-11-29 20:04:34.160042+00:00,ORD186492
2P1053,P2,OPEN,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Bhopal,2026-01-26 02:50:34.160042+00:00,,ORD581937
3P1054,P3,OPEN,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Pune,2025-12-23 10:04:34.160042+00:00,,ORD435499
3P1055,P3,CLOSED,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Hyderabad,2025-12-04 07:28:34.160042+00:00,2025-12-04 09:28:34.160042+00:00,ORD947292
3P1056,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Pune,2026-01-12 01:01:34.160042+00:00,2026-01-12 03:01:34.160042+00:00,ORD936967
2P1057,P2,CLOSED,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Jaipur,2025-12-31 18:54:34.160042+00:00,2025-12-31 19:54:34.160042+00:00,ORD741846
2P1058,P2,CLOSED,Refund not credited within 1 business day,Prime member eligible for instant refund — amount deducted but not credited back after 36 hours.,Hyderabad,2026-01-19 18:35:34.160042+00:00,2026-01-19 20:35:34.160042+00:00,ORD736241
2P1059,P2,CLOSED,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Hyderabad,2026-01-09 20:13:34.160042+00:00,2026-01-09 21:13:34.160042+00:00,ORD661751
2P1060,P2,OPEN,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Pune,2026-01-13 17:44:34.160042+00:00,,ORD210812
2P1061,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Hyderabad,2025-12-25 15:06:34.160042+00:00,2025-12-25 16:06:34.160042+00:00,ORD215739
3P1062,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Indore,2026-01-19 17:10:34.160042+00:00,2026-01-19 19:10:34.160042+00:00,ORD445008
3P1063,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Surat,2026-02-15 00:22:34.160042+00:00,2026-02-15 04:22:34.160042+00:00,ORD654737
3P1064,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Mumbai,2026-01-09 19:35:34.160042+00:00,2026-01-12 19:35:34.160042+00:00,ORD837791
1P1065,P1,CLOSED,Warehouse inventory mismatch – critical SKU,"Physical stock of emergency item XYZ789 is 0, but system shows 450 units.",Hyderabad,2025-11-25 09:26:34.160042+00:00,2025-11-25 13:26:34.160042+00:00,ORD373874
3P1066,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Pune,2026-01-26 19:34:34.160042+00:00,2026-01-28 19:34:34.160042+00:00,ORD656344
3P1067,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Bhopal,2025-12-13 18:08:34.160042+00:00,,ORD412186
3P1068,P3,OPEN,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Indore,2025-12-20 20:33:34.160042+00:00,,ORD390947
2P1069,P2,OPEN,Refund not credited within 1 business day,Prime member eligible for instant refund — amount deducted but not credited back after 36 hours.,Chandigarh,2025-12-17 09:05:34.160042+00:00,,ORD809812
3P1070,P3,OPEN,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2026-01-14 01:39:34.160042+00:00,,ORD833216
3P1071,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Patna,2026-01-25 13:28:34.160042+00:00,2026-01-25 14:28:34.160042+00:00,ORD890593
3P1072,P3,CLOSED,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Ahmedabad,2026-01-11 23:55:34.160042+00:00,2026-01-12 00:55:34.160042+00:00,ORD591529
2P1073,P2,CLOSED,Refund not credited within 1 business day,Prime member eligible for instant refund — amount deducted but not credited back after 36 hours.,Hyderabad,2025-11-27 09:00:34.160042+00:00,2025-11-27 17:00:34.160042+00:00,ORD957371
1P1074,P1,CLOSED,Warehouse inventory mismatch – critical SKU,"Physical stock of emergency item XYZ789 is 0, but system shows 450 units.",Hyderabad,2025-12-02 18:45:34.160042+00:00,2025-12-03 02:45:34.160042+00:00,ORD580406
3P1075,P3,CLOSED,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Bangalore,2026-01-18 21:49:34.160042+00:00,2026-02-01 21:49:34.160042+00:00,ORD973967
1P1076,P1,CLOSED,Warehouse inventory mismatch – critical SKU,"Physical stock of emergency item XYZ789 is 0, but system shows 450 units.",Hyderabad,2026-01-14 01:28:34.160042+00:00,2026-01-21 01:28:34.160042+00:00,ORD483427
3P1077,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Lucknow,2025-12-26 19:44:34.160042+00:00,2025-12-29 19:44:34.160042+00:00,ORD608382
3P1078,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Jaipur,2025-12-25 18:03:34.160042+00:00,2025-12-25 22:03:34.160042+00:00,ORD959722
1P1079,P1,OPEN,Vendor dispatch system outage,Primary vendor's dispatch system crashed — no shipments processed in last 48 hours.,Kolkata,2026-02-09 09:18:34.160042+00:00,,ORD876618
3P1080,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Bangalore,2026-01-29 04:31:34.160042+00:00,2026-01-29 08:31:34.160042+00:00,ORD376500
3P1081,P3,CLOSED,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Indore,2025-12-09 01:19:34.160042+00:00,2025-12-09 03:19:34.160042+00:00,ORD993997
1P1082,P1,CLOSED,Critical supply chain failure,Entire lot of high-demand SKU XXXX-5678 has not reached the central warehouse. Expected arrival was 3 days ago. Impacts multiple cities.,Hyderabad,2026-02-09 19:28:34.160042+00:00,2026-02-09 23:28:34.160042+00:00,ORD675120
1P1083,P1,CLOSED,Bulk shipment stuck at customs,"Container with 12,000 units delayed at Nhava Sheva port due to documentation mismatch.",Hyderabad,2025-12-29 17:25:34.160042+00:00,2025-12-29 21:25:34.160042+00:00,ORD775261
3P1084,P3,OPEN,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Lucknow,2026-01-09 13:08:34.160042+00:00,,ORD554908
1P1085,P1,CLOSED,Critical supply chain failure,Entire lot of high-demand SKU XXXX-5678 has not reached the central warehouse. Expected arrival was 3 days ago. Impacts multiple cities.,Hyderabad,2026-02-14 06:56:34.160042+00:00,2026-02-14 14:56:34.160042+00:00,ORD424447
2P1086,P2,OPEN,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Hyderabad,2026-01-18 15:22:34.160042+00:00,,ORD797935
3P1087,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Hyderabad,2026-02-08 19:18:34.160042+00:00,2026-02-08 23:18:34.160042+00:00,ORD594928
3P1088,P3,OPEN,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Ahmedabad,2026-02-13 12:04:34.160042+00:00,,ORD593910
2P1089,P2,CLOSED,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Hyderabad,2025-11-27 06:43:34.160042+00:00,2025-11-27 07:43:34.160042+00:00,ORD974863
2P1090,P2,CLOSED,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Hyderabad,2026-01-08 16:22:34.160042+00:00,2026-01-08 20:22:34.160042+00:00,ORD724081
3P1091,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Bhopal,2026-01-28 01:55:34.160042+00:00,,ORD694751
1P1092,P1,OPEN,Bulk shipment stuck at customs,"Container with 12,000 units delayed at Nhava Sheva port due to documentation mismatch.",Hyderabad,2025-12-10 11:25:34.160042+00:00,,ORD279038
3P1093,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Mumbai,2026-01-24 08:59:34.160042+00:00,2026-01-24 16:59:34.160042+00:00,ORD481659
2P1094,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Hyderabad,2025-12-29 04:09:34.160042+00:00,2025-12-29 12:09:34.160042+00:00,ORD525317
3P1095,P3,OPEN,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2025-12-08 23:34:34.160042+00:00,,ORD799772
1P1096,P1,OPEN,Supplier stock-out on critical item,Vendor confirmed zero stock for product ABC123 (fast-moving category). No ETA available.,Surat,2025-12-02 14:31:34.160042+00:00,,ORD985187
3P1097,P3,OPEN,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Lucknow,2026-01-21 10:07:34.160042+00:00,,ORD985144
3P1098,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Chennai,2026-02-17 17:05:34.160042+00:00,2026-02-18 17:05:34.160042+00:00,ORD771460
3P1099,P3,OPEN,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Patna,2025-12-24 06:30:34.160042+00:00,,ORD221918
3P1100,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Hyderabad,2026-01-31 21:46:34.160042+00:00,,ORD737851
3P1101,P3,OPEN,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Hyderabad,2025-12-22 03:17:34.160042+00:00,,ORD255933
3P1102,P3,OPEN,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Chennai,2026-02-13 22:23:34.160042+00:00,,ORD996498
3P1103,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Pune,2025-12-02 13:02:34.160042+00:00,,ORD178739
2P1104,P2,CLOSED,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Kolkata,2025-12-01 12:28:34.160042+00:00,2025-12-01 16:28:34.160042+00:00,ORD302755
2P1105,P2,CLOSED,Refund not credited within 1 business day,Prime member eligible for instant refund — amount deducted but not credited back after 36 hours.,Hyderabad,2026-01-02 04:13:34.160042+00:00,2026-01-02 05:13:34.160042+00:00,ORD550360
3P1106,P3,OPEN,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Hyderabad,2026-02-17 02:56:34.160042+00:00,,ORD358790
1P1107,P1,OPEN,Critical supply chain failure,Entire lot of high-demand SKU XXXX-5678 has not reached the central warehouse. Expected arrival was 3 days ago. Impacts multiple cities.,Hyderabad,2026-02-05 16:06:34.160042+00:00,,ORD276196
3P1108,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Hyderabad,2026-02-06 21:05:34.160042+00:00,2026-02-06 22:05:34.160042+00:00,ORD214246
3P1109,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Hyderabad,2025-12-17 11:01:34.160042+00:00,2025-12-18 11:01:34.160042+00:00,ORD554403
3P1110,P3,CLOSED,Partial order delivered,"Order had 3 items — only 1 was delivered, no communication about remaining items.",Chennai,2026-02-13 03:30:34.160042+00:00,2026-02-13 11:30:34.160042+00:00,ORD707584
3P1111,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Patna,2026-02-18 07:41:34.160042+00:00,2026-02-18 11:41:34.160042+00:00,ORD900919
3P1112,P3,CLOSED,Standard delivery running late by 4+ days,Order #875421 placed 7 days ago still shows 'out for delivery' status.,Bhopal,2026-01-10 06:12:34.160042+00:00,2026-01-10 08:12:34.160042+00:00,ORD161941
3P1113,P3,OPEN,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Hyderabad,2026-01-17 08:23:34.160042+00:00,,ORD943519
2P1114,P2,CLOSED,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Surat,2026-01-29 04:08:34.160042+00:00,2026-01-29 06:08:34.160042+00:00,ORD409345
3P1115,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Hyderabad,2025-12-14 05:39:34.160042+00:00,2025-12-14 07:39:34.160042+00:00,ORD348617
3P1116,P3,CLOSED,Damaged product delivered,Laptop sleeve arrived with torn packaging and visible scratch on product.,Hyderabad,2025-12-26 18:23:34.160042+00:00,2025-12-26 22:23:34.160042+00:00,ORD988529
3P1117,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Mumbai,2026-02-11 10:58:34.160042+00:00,2026-02-11 12:58:34.160042+00:00,ORD603318
2P1118,P2,OPEN,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Mumbai,2026-01-30 00:16:34.160042+00:00,,ORD155451
2P1119,P2,OPEN,Prime same-day delivery missed,Customer in Bangalore was promised same-day delivery but order is still in 'processing' status at 8 PM.,Hyderabad,2025-12-05 00:57:34.160042+00:00,,ORD740118
2P1120,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Hyderabad,2025-11-28 12:36:34.160042+00:00,2025-11-28 14:36:34.160042+00:00,ORD454353
2P1121,P2,CLOSED,Priority delivery partner no-show,"Prime Blue Dart slot booked, but delivery agent marked 'not reachable' three times.",Hyderabad,2025-12-06 12:21:34.160042+00:00,2025-12-06 14:21:34.160042+00:00,ORD351355
3P1122,P3,OPEN,Delivery agent unreachable for last mile,Agent number +91-98XXXXXX45 not answering calls/WhatsApp since yesterday.,Bangalore,2025-12-03 18:30:34.160042+00:00,,ORD640843
2P1123,P2,CLOSED,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Jaipur,2025-12-07 04:01:34.160042+00:00,2025-12-07 04:31:34.160042+00:00,ORD737778
1P1124,P1,CLOSED,Critical supply chain failure,Entire lot of high-demand SKU XXXX-5678 has not reached the central warehouse. Expected arrival was 3 days ago. Impacts multiple cities.,Hyderabad,2025-12-14 14:16:34.160042+00:00,2025-12-14 14:46:34.160042+00:00,ORD134684
2P1125,P2,CLOSED,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Hyderabad,2025-12-12 15:04:34.160042+00:00,2025-12-15 15:04:34.160042+00:00,ORD721095
3P1126,P3,OPEN,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Hyderabad,2025-11-25 14:25:34.160042+00:00,,ORD469847
3P1127,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Surat,2025-12-02 19:19:34.160042+00:00,2025-12-03 03:19:34.160042+00:00,ORD769203
3P1128,P3,CLOSED,Received completely wrong product,"Ordered Noise ColorFit Pro 5, received boAt Airdopes instead.",Bhopal,2026-01-24 14:52:34.160042+00:00,2026-01-24 22:52:34.160042+00:00,ORD472736
3P1129,P3,OPEN,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Surat,2026-02-16 08:03:34.160042+00:00,,ORD370433
3P1130,P3,CLOSED,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Kolkata,2025-12-18 08:27:34.160042+00:00,2025-12-20 08:27:34.160042+00:00,ORD268325
3P1131,P3,CLOSED,App crashed during payment – money deducted,App closed during Paytm payment flow. Money deducted but cart still active.,Hyderabad,2026-01-30 08:14:34.160042+00:00,2026-01-30 08:44:34.160042+00:00,ORD720827
2P1132,P2,OPEN,Prime exclusive product out of stock after order,Order #9845123 for Prime-exclusive Echo Dot (new color) cancelled by system due to stock unavailability.,Lucknow,2025-11-27 06:35:34.160042+00:00,,ORD256106
2P1133,P2,OPEN,Prime early access deal item delayed,Item from Prime Early Access sale not shipped even after 72-hour window.,Chennai,2025-11-26 20:35:34.160042+00:00,,ORD759551
3P1134,P3,OPEN,Payment successful but order not confirmed,"₹1,499 deducted via UPI but order status stuck at 'payment pending' for 2 days.",Delhi,2026-01-17 17:42:34.160042+00:00,,ORD481572
